Location,Area (sqft),Bedrooms,Bathrooms,Parking Spaces,Age of Property (years),Floor,Total Floors,Furnishing,Property Type,Nearby Metro (Y/N),Price (Lakhs)
Hebbal,2286,3,2,3,12,1,4,Semi-Furnished,Independent House,N,97.97
Indiranagar,3029,2,2,0,29,3,10,Unfurnished,Apartment,N,232.44
Malleswaram,3335,3,2,3,1,2,6,Semi-Furnished,Apartment,N,184.52
HSR Layout,2424,3,2,2,9,1,3,Fully-Furnished,Independent House,Y,174.87
Whitefield,3632,2,2,2,15,1,3,Unfurnished,Apartment,Y,230.02
Kengeri,3257,2,4,2,12,5,7,Unfurnished,Apartment,N,235.86
Hebbal,2256,1,5,0,18,5,8,Fully-Furnished,Independent House,Y,130.24
Basavanagudi,3956,5,5,0,0,1,1,Semi-Furnished,Apartment,Y,204.22
Indiranagar,4660,3,3,0,21,5,9,Unfurnished,Independent House,Y,357.27
Whitefield,4775,2,3,1,6,3,9,Fully-Furnished,Independent House,Y,364.58
HSR Layout,4089,5,4,0,24,2,2,Unfurnished,Independent House,Y,179.87
Basavanagudi,4104,1,2,2,1,4,8,Unfurnished,Independent House,Y,244.61
Jayanagar,3842,5,3,2,14,4,4,Unfurnished,Independent House,N,296.62
BTM Layout,4497,5,4,1,3,2,2,Unfurnished,Apartment,N,280.39
BTM Layout,1341,1,2,3,10,1,8,Fully-Furnished,Independent House,N,89.62
Malleshwaram,1651,3,3,1,7,1,7,Unfurnished,Apartment,N,94.8
Bellandur,4420,4,4,2,12,1,9,Fully-Furnished,Apartment,Y,286.98
Sarjapur Road,2209,2,3,1,0,1,5,Fully-Furnished,Independent House,N,147.39
Hebbal,1977,1,4,0,14,1,1,Unfurnished,Independent House,Y,91.14
Indiranagar,3450,5,1,2,27,8,10,Fully-Furnished,Apartment,N,358.68
Kengeri,1911,1,5,0,28,6,7,Unfurnished,Independent House,Y,131.49
Bellandur,1282,4,2,1,18,1,6,Fully-Furnished,Apartment,N,97.43
Koramangala,4094,2,5,1,10,6,9,Fully-Furnished,Independent House,N,310.51
Basavanagudi,1913,4,2,2,10,4,10,Unfurnished,Independent House,N,111.6
Whitefield,2179,5,2,3,30,4,7,Unfurnished,Apartment,N,164.66
BTM Layout,876,3,4,1,19,2,5,Fully-Furnished,Independent House,Y,67.32
Sarjapur Road,3237,4,4,1,8,3,4,Unfurnished,Apartment,Y,195.93
Yelahanka,2327,3,5,2,22,2,2,Fully-Furnished,Apartment,Y,162.34
Rajajinagar,1347,5,4,1,23,8,10,Fully-Furnished,Independent House,Y,89.44
Basavanagudi,672,1,5,3,26,3,9,Fully-Furnished,Independent House,Y,35.89
Yelahanka,3208,5,1,0,15,1,4,Semi-Furnished,Apartment,Y,248.75
Indiranagar,1208,5,3,0,9,1,8,Semi-Furnished,Apartment,N,109.07
Bellandur,3746,4,5,0,11,3,6,Unfurnished,Independent House,Y,214.04
Rajajinagar,2266,5,5,1,17,1,4,Semi-Furnished,Apartment,N,114.2
Kengeri,2505,2,2,0,1,5,7,Semi-Furnished,Apartment,N,150.74
Indiranagar,1495,5,3,1,28,10,10,Semi-Furnished,Apartment,N,92.85
Malleshwaram,3052,2,4,1,24,3,4,Semi-Furnished,Apartment,Y,159.3
Bellandur,3089,5,2,1,11,1,1,Semi-Furnished,Apartment,Y,192.69
Basavanagudi,4422,3,4,1,1,1,1,Semi-Furnished,Apartment,N,239.33
Marathahalli,4067,4,3,3,3,2,2,Unfurnished,Independent House,N,178.77
JP Nagar,3682,2,2,1,24,7,10,Unfurnished,Independent House,N,250.51
Electronic City,4786,5,3,2,17,8,8,Semi-Furnished,Apartment,N,215.31
Whitefield,4680,1,3,2,8,1,7,Semi-Furnished,Independent House,N,370.17
Malleshwaram,2792,5,1,1,11,6,9,Semi-Furnished,Independent House,N,149.52
Ulsoor,1879,3,5,0,5,1,2,Unfurnished,Independent House,Y,118.05
Sarjapur Road,3191,2,3,2,18,2,2,Fully-Furnished,Apartment,Y,195.13
Kengeri,1359,4,3,1,11,4,5,Semi-Furnished,Apartment,Y,88.36
Basavanagudi,3210,5,4,3,17,4,5,Unfurnished,Independent House,Y,225.56
Rajajinagar,1143,2,3,0,24,5,8,Unfurnished,Apartment,N,87.65
Bannerghatta Road,1171,4,2,1,21,5,10,Unfurnished,Independent House,N,87.45
HSR Layout,1434,4,4,0,26,8,10,Semi-Furnished,Independent House,Y,79.21
JP Nagar,2481,4,1,2,10,1,1,Semi-Furnished,Independent House,N,108.0
Kengeri,4067,5,3,1,28,1,1,Semi-Furnished,Apartment,N,291.87
Koramangala,1542,5,2,3,17,2,3,Unfurnished,Apartment,N,114.25
Yelahanka,2893,4,1,2,6,1,3,Semi-Furnished,Independent House,Y,172.8
Ulsoor,3032,2,2,2,15,6,9,Unfurnished,Apartment,Y,153.91
Rajajinagar,1069,5,5,3,11,2,9,Fully-Furnished,Independent House,N,81.85
Indiranagar,4737,4,5,3,0,7,7,Fully-Furnished,Apartment,Y,459.55
BTM Layout,3974,3,4,0,18,5,8,Unfurnished,Apartment,Y,160.65
Indiranagar,3567,1,3,1,29,2,8,Fully-Furnished,Apartment,Y,257.95
Rajajinagar,4445,1,5,2,15,1,2,Unfurnished,Independent House,Y,201.56
Basavanagudi,1663,1,5,2,11,9,10,Fully-Furnished,Independent House,N,106.27
Marathahalli,2457,1,5,1,28,2,3,Semi-Furnished,Apartment,N,168.96
Marathahalli,1649,1,1,1,27,2,2,Fully-Furnished,Independent House,N,99.14
Bellandur,3822,5,2,1,19,3,6,Unfurnished,Independent House,N,298.25
Rajajinagar,2909,1,4,1,15,1,10,Unfurnished,Independent House,N,187.79
Basavanagudi,2277,4,4,0,16,1,2,Semi-Furnished,Apartment,N,121.94
Basavanagudi,2699,1,2,1,29,5,6,Fully-Furnished,Independent House,Y,176.56
Basavanagudi,4967,3,4,1,22,2,7,Unfurnished,Apartment,Y,219.3
Malleswaram,1952,4,3,0,13,3,4,Unfurnished,Apartment,Y,79.27
Whitefield,3282,3,3,1,15,6,7,Unfurnished,Independent House,N,255.92
Jayanagar,4585,5,5,3,29,1,9,Semi-Furnished,Apartment,N,464.43
Kengeri,1094,4,3,1,22,2,10,Fully-Furnished,Independent House,Y,60.14
BTM Layout,2992,2,2,3,19,1,4,Fully-Furnished,Apartment,N,170.7
Koramangala,2917,2,1,3,6,2,2,Semi-Furnished,Apartment,N,199.78
Indiranagar,2675,2,3,3,4,4,7,Semi-Furnished,Apartment,N,162.9
